order_date,customer,grand_total
40807,Larry Hughes,7
40684,Mitch Willingham,3334
40667,Paul MacIntyre,47
40793,Rick Bensley,644
40557,Michael Moore,41
40906,Michael Granlund,9
40662,Katherine Hughes,20
40619,Bradley Nguyen,250
40760,Chad Sievert,472
40661,Muhammed Yedwab,527
40874,Maxwell Schwartz,4
40863,Justin Deggeller,731
40872,Mike Pelletier,1394
40674,Harold Dahlen,122
40864,Yoseph Carroll,3116
40892,Sung Pak,9
40850,Denise Monton,6
40824,Duane Noonan,124
40728,Katrina Edelman,210
40904,Alyssa Tate,12
40854,Maribeth Schnelling,317
40806,Sarah Brown,505
40779,Dorothy Wardle,26
40878,Resi Pšlking,2854
40870,Saphhira Shifley,46
40849,Julie Kriz,800
40896,Irene Maddox,1980
40819,Russell D'Ascenzo,58
40625,Patrick O'Donnell,935
40897,William Brown,85
40813,Thomas Seio,88
40853,George Ashbrook,44
40857,Sam Craven,1195
40875,Mary O'Rourke,17
40851,Odella Nelson,67
40850,Speros Goranitis,841
40875,Brian Thompson,999
40669,Harold Pawlan,141
40774,Jim Karlsson,11
40589,Marina Lichtenstein,561
40641,John Stevenson,172
40655,Aaron Hawkins,258
40871,Harold Pawlan,111
40646,Jonathan Doherty,631
40591,Michael Nguyen,9
40872,Andy Reiter,53
40859,Darren Powers,153
40746,Alejandro Ballentine,20
40880,Nathan Gelder,480
40793,Sean Braxton,539
40815,Suzanne McNair,2359
40724,Russell Applegate,5
40794,Stefania Perrino,17
40735,Michael Nguyen,586
40777,Deanra Eno,4
40781,Frank Merwin,177
40742,Adrian Hane,259
40829,Sibella Parks,8
40854,Lena Hernandez,123
40810,Julia Dunbar,212
40577,Eric Barreto,199
40562,David Wiener,65
40854,Tamara Chand,100
40712,Mick Crebagga,140
40894,Roy Franzšsisch,40
40640,Pauline Johnson,9
40890,Randy Ferguson,93
40893,Stefanie Holloman,1404
40833,Tracy Blumstein,131
40690,Maya Herman,926
40738,Shirley Schmidt,39
40763,Matt Abelman,1110
40807,Sara Luxemburg,66
40665,Cari Schnelling,480
40716,Dianna Vittorini,664
40782,Corey Catlett,1812
40865,Maya Herman,868
40751,Giulietta Weimer,238
40760,Gary Zandusky,489
40873,Lynn Smith,415
40778,Arthur Prichep,424
40736,Max Engle,60
40815,Lisa DeCherney,1609
40814,Keith Dawkins,107
40679,Pauline Webber,233
40789,Allen Goldenen,14
40807,Brian Moss,69
40882,Nona Balk,521
40861,Maris LaWare,877
40758,Berenike Kampe,164
40869,Robert Barroso,10
40796,Clay Ludtke,1509
40583,Nathan Mautz,15
40851,William Brown,1729
40806,Mitch Webber,3519
40717,Brian Stugart,86
40793,Shahid Shariari,322
40780,Joe Elijah,38
40799,Lena Hernandez,3
40900,Michelle Ellison,5
40759,Valerie Dominguez,2126
40795,Rick Reed,2304
40806,Henry Goldwyn,9
40787,Larry Tron,54
40815,Paul Prost,2355
40750,Kunst Miller,1891
40906,Zuschuss Carroll,39
40848,Suzanne McNair,16
40709,Pamela Stobb,37
40766,Greg Matthias,76
40871,Harold Ryan,721
40675,Hunter Lopez,35
40684,Katherine Hughes,187
40881,Cathy Prescott,130
40805,John Lee,2692
40908,Candace McMahon,50
40872,Matt Collister,1274
40808,Maribeth Schnelling,5
40674,Brooke Gillingham,36
40862,Shahid Shariari,803
40812,Christopher Schild,310
40586,Natalie Fritzler,1508
40746,Erin Mull,166
40619,Quincy Jones,127
40744,Jonathan Doherty,602
40788,Clay Ludtke,21
40605,Anne Pryor,161
40633,Alex Avila,727
40866,Alan Dominguez,6
40715,Dave Brooks,1327
40864,Greg Tran,6161
40627,Christina Anderson,92
40858,Mary Zewe,2159
40827,Alan Shonely,8
40862,Scott Cohen,11
40794,Ted Trevino,255
40640,Roland Schwarz,753
40862,Peter BŸhler,605
40758,Gary Hansen,93
40869,Ruben Ausman,1023
40849,Liz Carlisle,609
40772,Ken Black,16
40745,Harry Marie,752
40885,Tim Brockman,266
40689,Dean percer,48
40890,Kimberly Carter,12
40736,Alyssa Crouse,706
40892,Ed Braxton,446
40555,Seth Vernon,10
40682,Tamara Dahlen,34
40666,Joni Sundaresam,22
40605,Sam Craven,177
40633,Trudy Glocke,1142
40792,Victoria Pisteka,100
40891,Cari Sayre,9
40715,Toby Braunhardt,697
40683,Matt Collister,108
40840,Allen Armold,34
40550,Lycoris Saunders,19
40864,Cassandra Brandow,7
40777,Jeremy Pistek,8
40907,Ken Brennan,10
40793,Tom Boeckenhauer,1040
40603,Shahid Collister,574
40878,Toby Ritter,58
40632,Guy Armstrong,206
40736,Clay Ludtke,134
40661,Arianne Irving,1680
40763,Lena Radford,2050
40878,Toby Braunhardt,96
40752,Chloris Kastensmidt,193
40907,Astrea Jones,158
40581,Neil Ducich,322
40695,Dianna Wilson,3746
40803,Joseph Airdo,318
40829,Michelle Arnett,390
40851,Sam Zeldin,52
40812,Karen Ferguson,605
40794,Gary Zandusky,50
40822,Alice McCarthy,15
40703,Frank Olsen,1441
40805,Mike Caudle,93
40823,John Grady,107
40879,Katherine Nockton,120
40901,Adam Shillingsburg,14
40799,Jessica Myrick,268
40661,David Smith,160
40774,David Wiener,359
40637,Maurice Satty,85
40700,Bryan Mills,13
40735,Mark Hamilton,67
40597,Sue Ann Reed,19
40716,Toby Braunhardt,8
40632,Dorris liebe,60
40899,Khloe Miller,12
40908,Katherine Murray,2846
40852,Steven Roelle,48
40758,Bruce Stewart,221
40806,Michelle Arnett,64
40703,Carl Weiss,142
40865,MaryBeth Skach,21
40882,Rob Lucas,91
40703,Chuck Magee,30
40681,George Ashbrook,4
40662,Lauren Leatherbury,17
40574,Mike Vittorini,241
40759,Marina Lichtenstein,617
40730,Emily Phan,560
40848,Russell Applegate,2027
40897,Tony Sayre,732
40653,Seth Vernon,1191
40898,Dennis Pardue,18
40822,Xylona Preis,9
40849,Steven Ward,95
40869,Susan Pistek,54
40553,Melanie Seite,41
40885,Jim Karlsson,650
40697,Steven Cartwright,516
40784,Hilary Holden,123
40666,Nathan Cano,51
40691,Patrick Jones,85
40876,Corey-Lock,5
40654,Dorothy Badders,829
40893,Chad Cunningham,1308
40897,Penelope Sewall,2884
40710,Sonia Cooley,648
40639,Guy Phonely,45
40791,Patrick Ryan,32
40836,Lindsay Shagiari,862
40631,Mike Gockenbach,891
40816,Doug Bickford,43
40761,Trudy Brown,200
40850,Maxwell Schwartz,286
40825,Bart Pistole,89
40770,Keith Herrera,31
40907,Guy Armstrong,28
40801,Alex Avila,30
40886,Frank Preis,1111
40805,Neil Ducich,74
40742,Jack Lebron,14
40825,Shirley Jackson,161
40882,Roy Collins,25
40715,Natalie Webber,385
40634,Katharine Harms,73
40628,Jonathan Doherty,66
40834,Edward Hooks,249
40686,Erica Hackney,13
40798,Brad Norvell,192
40897,Carol Triggs,597
40728,Maxwell Schwartz,37
40884,Frank Preis,9
40644,Gary Mitchum,758
40674,Raymond Messe,47
40690,Lena Creighton,1213
40870,Bobby Trafton,15
40848,Deirdre Greer,76
40828,Duane Noonan,36
40841,Evan Henry,54
40903,Maureen Gnade,362
40894,Erin Creighton,5
40577,Cynthia Delaney,12
40794,Becky Martin,10540
40623,Cassandra Brandow,13
40794,Toby Swindell,9
40799,Odella Nelson,79
40676,Erica Hernandez,405
40661,George Bell,212
40867,Katharine Harms,908
40826,Tanja Norvell,138
40693,Mark Cousins,720
40708,Sharelle Roach,213
40864,Thomas Seio,1075
40858,Matt Abelman,708
40576,Bradley Drucker,469
40897,Toby Carlisle,448
40722,Cynthia Arntzen,1640
40816,Kelly Williams,69
40770,Christine Sundaresam,63
40873,Luke Schmidt,67
40802,Randy Ferguson,34
40865,Julie Creighton,67
40715,Raymond Messe,21
40697,Ross Baird,15
40905,Anthony Jacobs,2583
40811,Barry Franz,15
40889,William Brown,43
40816,Dario Medina,795
40744,Charles Crestani,176
40715,James Galang,1215
40549,Mick Brown,20
40628,Damala Kotsonis,60
40764,Gene McClure,6
40716,Joel Eaton,197
40900,Sarah Foster,207
40899,Nora Preis,274
40837,Tracy Blumstein,531
40662,Harry Greene,70
40799,Resi Pšlking,562
40771,Troy Staebel,853
40824,Jack Garza,23
40744,Scot Wooten,53
40645,Edward Hooks,40
40834,Ivan Gibson,63
40831,Dan Lawera,15
40878,Anna Andreadi,328
40782,Zuschuss Donatelli,245
40905,Maribeth Dona,1050
40786,Shirley Jackson,93
40687,Resi Pšlking,116
40626,Maurice Satty,40
40685,Evan Henry,181
40744,Katherine Murray,1341
40749,Ken Lonsdale,8319
40689,Michelle Moray,476
40885,Denny Joy,119
40704,Heather Kirkland,492
40795,Maribeth Schnelling,104
40711,Gary Hwang,3291
40866,John Murray,4549
40856,Jeremy Pistek,1518
40812,Craig Molinari,69
40799,Dan Campbell,5
40747,Nick Crebassa,993
40620,Sean Miller,23661
40847,Anne McFarland,2117
40891,Tom Boeckenhauer,7000
40800,Cynthia Arntzen,26
40693,Shahid Shariari,355
40864,Mark Packer,480
40794,Kean Takahito,1167
40785,Annie Thurman,121
40749,Vicky Freymann,22
40563,Toby Swindell,379
40724,Helen Abelman,335
40836,Patrick O'Donnell,212
40850,Annie Thurman,147
40794,Paul Prost,176
40877,Philip Brown,150
40899,Bradley Talbott,216
40693,Ellis Ballard,14
40815,Arthur Prichep,968
40854,Bart Pistole,36
40567,Speros Goranitis,6
40626,Carlos Daly,25
40659,Aleksandra Gannaway,249
40730,Becky Castell,478
40809,Jim Kriz,29
40698,Mark Packer,16
40624,Beth Fritzler,389
40843,Ross DeVincentis,22
40809,Thea Hudgings,11
40904,Resi Pšlking,947
40877,Randy Ferguson,7
40887,Sally Matthias,118
40627,Annie Zypern,367
40564,Mark Van Huff,39
40680,Pete Armstrong,92
40849,Patrick O'Brill,89
40848,Natalie DeCherney,600
40891,Joy Daniels,43
40554,Anthony Jacobs,55
40870,Phillip Breyer,63
40638,Ruben Dartt,771
40851,MaryBeth Skach,35
40558,Brendan Sweed,62
40637,Ken Black,365
40801,Monica Federle,104
40863,Rick Huthwaite,274
40617,Alan Shonely,371
40882,Joni Blumstein,250
40908,Pamela Coakley,1573
40732,Michelle Huthwaite,64
40826,Shirley Daniels,47
40760,Sonia Sunley,78
40866,Mitch Webber,503
40641,Nathan Mautz,500
40878,Joe Kamberova,1614
40638,John Grady,102
40859,Roy Franzšsisch,50
40882,Erin Ashbrook,362
40859,Joseph Airdo,641
40830,Toby Carlisle,1885
40893,Steve Chapman,114
40861,Candace McMahon,21
40763,Maria Bertelson,217
40788,Christina VanderZanden,240
40700,Valerie Takahito,100
40698,Bobby Trafton,440
40806,Dorothy Badders,3
40838,Nicole Brennan,130
40829,Zuschuss Carroll,1550
40674,Victoria Wilson,1213
40821,Keith Herrera,100
40724,Brian DeCherney,311
40788,Sanjit Chand,1794
40756,Ivan Liston,20
40906,Shui Tom,57
40821,Brian Derr,92
40684,Frank Gastineau,712
40848,Jack O'Briant,75
40616,Rick Bensley,583
40729,David Wiener,4
40593,Aaron Bergman,13
40904,Tamara Chand,522
40725,Dorris liebe,20
40820,David Flashing,110
40850,Tracy Collins,7
40639,Frank Hawley,436
40871,Thea Hendricks,1538
40893,Ken Black,1016
40767,Lauren Leatherbury,287
40807,Herbert Flentye,451
40819,Beth Paige,258
40876,Alan Hwang,606
40879,Odella Nelson,463
40900,Craig Carreira,620
40592,Delfina Latchford,54
40890,Ralph Arnett,3
40884,Erica Hernandez,165
40645,Kean Nguyen,1840
40845,Sue Ann Reed,2736
40766,Ken Lonsdale,375
40763,Tamara Manning,423
40868,Steve Carroll,102
40778,Robert Barroso,50
40898,Gary McGarr,1898
40716,Anna Andreadi,1107
40649,Stephanie Phelps,39
40835,Rachel Payne,306
40667,Andrew Allen,27
40883,Barry Gonzalez,42
40850,Resi Pšlking,12
40858,Tom Stivers,546
40605,Ashley Jarboe,19
40675,Kean Thornton,700
40663,Tamara Manning,48
40808,Adam Shillingsburg,694
40767,Duane Huffman,458
40901,Resi Pšlking,30
40711,Jennifer Ferguson,62
40689,Marina Lichtenstein,576
40806,Erica Smith,32
40602,Joy Smith,19
40609,Aaron Bergman,310
40897,Michael Chen,695
40805,Frank Atkinson,7
40763,Vivek Gonzalez,155
40722,Rob Williams,6
40557,Brian Dahlen,1680
40744,Roger Demir,113
40618,Kristina Nunn,472
40616,Dean Katz,14
40908,Aaron Hawkins,54
40788,Justin MacKendrick,91
40729,Michael Chen,514
40819,Allen Rosenblatt,266
40827,Helen Andreada,465
40689,Herbert Flentye,225
40654,Allen Armold,17
40808,Sanjit Engle,210
40866,Robert Marley,683
40788,Andy Gerbode,560
40613,Kelly Andreada,109
40857,Ruben Dartt,808
40619,Annie Zypern,25
40652,Allen Goldenen,129
40871,Vivek Gonzalez,152
40672,Sean Braxton,159
40750,Jack O'Briant,112
40800,John Castell,150
40854,Steven Cartwright,725
40719,Noel Staavos,448
40816,Maya Herman,15
40700,Grant Thornton,1158
40870,Sally Matthias,23
40884,Patrick O'Brill,106
40673,Arianne Irving,202
40875,Sheri Gordon,184
40718,Liz Pelletier,4
40864,Randy Bradley,670
40805,Jim Kriz,6
40863,Adam Hart,5
40663,Justin MacKendrick,1001
40897,Mark Hamilton,191
40703,Thomas Seio,135
40635,Anna HŠberlin,178
40668,Katharine Harms,45
40800,Darrin Martin,4284
40725,Laurel Workman,581
40865,Michael Kennedy,393
40764,Roger Demir,14
40736,Paul Van Hugh,554
40861,Chris Cortes,32
40632,Mark Packer,715
40842,Angele Hood,448
40861,Jeremy Lonsdale,24
40756,Ann Steele,6
40557,Chris Selesnick,1287
40904,Corey-Lock,63
40896,Bart Pistole,832
40875,Bart Folk,15
40871,Darren Koutras,646
40623,Kristen Hastings,3770
40794,Karen Carlisle,117
40897,Suzanne McNair,192
40858,Tracy Zic,1167
40904,Thomas Brumley,767
40865,Joe Kamberova,1109
40735,Laura Armstrong,1369
40809,Shui Tom,139
40809,Thomas Thornton,44
40830,Hunter Glantz,2003
40697,Richard Eichhorn,210
40738,Shui Tom,111
40865,Pierre Wener,182
40681,Ted Trevino,165
40905,Sung Pak,99
40635,Rob Dowd,1221
40812,Nicole Brennan,144
40719,Grace Kelly,345
40872,Laurel Workman,372
40829,Marina Lichtenstein,265
40625,Bruce Geld,10
40880,Matthew Clasen,26
40595,Steven Roelle,13
40859,Denise Monton,8
40851,Nathan Mautz,4807
40858,Karen Daniels,1639
40733,Brian Moss,25
40904,Nathan Cano,5
40787,Jack Lebron,35
40906,Ricardo Emerson,48
40596,Tamara Manning,9
40590,Barry Franzšsisch,21
40850,Shahid Hopkins,1396
40640,Valerie Mitchum,259
40723,Dan Lawera,33
40694,Jim Karlsson,774
40670,Carol Triggs,1091
40882,David Kendrick,434
40668,Peter Fuller,41
40764,Matthew Grinstein,1310
40735,Jamie Kunitz,165
40845,Noah Childs,78
40775,Craig Reiter,421
40907,Dorothy Dickinson,39
40806,Duane Noonan,587
40714,Sam Craven,1354
40613,Chloris Kastensmidt,19
40820,Chris Cortes,589
40658,Beth Thompson,2061
40904,Cynthia Delaney,107
40861,Robert Marley,81
40676,Alejandro Grove,56
40550,Maria Etezadi,4375
40871,Richard Bierner,112
40874,Jack O'Briant,200
40646,Ben Ferrer,8
40764,Andy Gerbode,194
40564,Xylona Preis,709
40570,Carol Adams,153
40805,Bill Shonely,887
40743,Eugene Moren,6
40848,Paul Lucas,66
40603,Giulietta Weimer,514
40586,Guy Armstrong,535
40903,Tracy Blumstein,192
40889,Nora Preis,4631
40794,Dennis Pardue,76
40807,Matt Abelman,32
40873,Natalie Webber,1123
40750,Luke Foster,2657
40632,Kunst Miller,50
40607,Aimee Bixby,706
40700,Stewart Visinsky,63
40896,Speros Goranitis,372
40652,Nicole Fjeld,76
40751,Barry Blumstein,276
40886,Thomas Seio,29
40836,Fred Hopkins,427
40764,Joseph Holt,2061
40784,Ryan Akin,709
40639,Scott Cohen,687
40837,Sylvia Foulston,36
41043,Claudia Bergmann,1453
41012,Heather Jas,86
41046,Dianna Vittorini,87
41233,Brian Moss,258
41235,Irene Maddox,12
41177,Anne McFarland,17
41215,Scot Wooten,110
41262,Suzanne McNair,128
41167,Ann Chong,151
41045,Tracy Hopkins,256
41060,Janet Molinari,235
41005,Mark Hamilton,48
41008,Ivan Gibson,370
40948,Michael Stewart,21
41248,Scot Wooten,74
40949,Nona Balk,77
41170,Charlotte Melton,444
41148,Philip Fox,150
41069,Max Jones,175
41270,David Bremer,1569
41240,Carlos Daly,284
41156,Ken Black,10
41164,Tamara Manning,193
41173,Chad Sievert,200
41174,Sanjit Jacobs,764
41194,Mark Packer,1669
40968,Dave Hallsten,201
41145,Katrina Willman,3748
41167,Natalie Webber,1919
41017,Kelly Williams,107
41234,John Huston,18
41050,Henry Goldwyn,25
41220,Karen Bern,191
41004,Jennifer Ferguson,264
41159,Lisa Ryan,806
41179,Helen Wasserman,42
40942,Frank Olsen,75
41114,Shirley Schmidt,526
41059,Edward Nazzal,529
41251,Joel Jenkins,120
41029,Ken Black,54
41244,Beth Thompson,14
41088,Mark Packer,260
40994,Benjamin Venier,74
41176,Shaun Chance,1173
41270,Sung Pak,284
41177,Dan Reichenbach,900
41130,Hallie Redmond,687
41218,Nathan Gelder,20
40945,Lori Olson,177
40969,Tracy Poddar,96
41073,Frank Carlisle,3
41072,Jonathan Howell,56
40966,Erin Smith,600
40912,Andrew Gjertsen,192
41058,Chad Cunningham,85
41254,Irene Maddox,730
41030,Patrick O'Brill,85
41184,Ed Braxton,58
40910,Claudia Bergmann,115
41153,Daniel Raglin,1388
40998,Daniel Raglin,367
41073,Dave Hallsten,976
41226,Keith Herrera,723
41167,Brendan Murry,139
41157,Sung Pak,43
41214,Valerie Mitchum,39
41219,Meg Tillman,11
41237,Darren Powers,384
40997,Chad McGuire,18
41176,Jamie Frazer,40
41220,Christine Phan,1362
41159,Marc Crier,41
41200,Kristina Nunn,101
40976,Dana Kaydos,2532
41221,Helen Abelman,12
41234,Carol Adams,698
40957,Guy Thornton,97
41207,Jennifer Ferguson,79
40970,Pete Armstrong,112
41083,Randy Ferguson,268
41253,Julia West,53
41015,Brad Norvell,13
41012,Eugene Barchas,721
41177,Emily Burns,1045
41254,Lena Creighton,10
40988,Bart Watters,52
41180,Zuschuss Carroll,18
41100,Mike Vittorini,40
41234,Brenda Bowman,40
41261,Michael Kennedy,7
41020,Juliana Krohn,893
41243,John Murray,107
40976,Fred Chung,3
41149,Suzanne McNair,470
41032,Julia Barnett,666
41214,MaryBeth Skach,302
41221,Noel Staavos,81
41150,Chad Cunningham,247
40913,Brooke Gillingham,90
41096,Kalyca Meade,896
41162,Frank Atkinson,107
40973,Katherine Nockton,479
41262,Eileen Kiefer,25
41019,Olvera Toch,181
41205,Craig Carroll,547
41274,Jas O'Carroll,488
41234,Denise Leinenbach,508
41221,Rob Haberlin,751
41274,Karen Carlisle,596
40973,Luke Foster,976
41170,Ken Heidel,2504
40934,Elizabeth Moffitt,183
41258,Joseph Holt,1055
41054,Craig Yedwab,467
41192,Denny Joy,45
41207,Heather Kirkland,450
41037,Allen Armold,5
41242,Bill Tyler,1127
41246,Alejandro Ballentine,53
41247,Ritsa Hightower,8
41211,Nona Balk,244
41244,Matt Abelman,42
40977,Toby Gnade,5
40970,Dave Kipp,788
41033,Anna HŠberlin,946
40985,Harold Ryan,49
41003,Nicole Fjeld,211
41159,Helen Andreada,672
41198,Michael Paige,825
41248,Brian Derr,420
41230,Anna Andreadi,1971
41255,Karen Daniels,326
41205,Joe Elijah,187
41233,Phillina Ober,344
41069,Anthony Garverick,113
41121,Steve Chapman,53
41244,Lindsay Castell,2677
41269,Mick Crebagga,52
41099,Claudia Bergmann,130
41010,Sanjit Engle,514
41226,Joe Kamberova,115
41108,Roland Fjeld,520
40957,Ann Blume,9
41138,Shaun Chance,52
40966,Bill Tyler,20
41058,Victoria Pisteka,367
41236,Victoria Brennan,386
41178,Philip Fox,50
40945,Victoria Wilson,5
41152,Scott Cohen,1967
41241,Eugene Barchas,74
41092,Karl Braun,28
41268,Ralph Arnett,1231
40987,Fred Hopkins,4607
41079,Paul Prost,6
41224,Andrew Gjertsen,542
41221,Duane Benoit,10
41134,Odella Nelson,51
41193,Shahid Hopkins,32
40984,Jeremy Ellison,172
41032,Stewart Visinsky,1058
41088,Craig Yedwab,628
41126,Anna HŠberlin,73
41233,Katrina Bavinger,155
41152,Andrew Roberts,58
41264,Roger Demir,78
41003,Nat Carroll,1274
41192,David Philippe,8
41024,John Lucas,206
41174,Daniel Lacy,205
41102,Fred McMath,307
41123,Darren Koutras,278
41253,Ryan Akin,25
41148,Chad Cunningham,5
40987,Berenike Kampe,106
41176,Maria Bertelson,98
41214,Valerie Dominguez,2220
41268,Jim Karlsson,1293
41228,Dean Katz,270
41155,Cathy Prescott,238
41222,Anthony Garverick,11
41106,Eleni McCrary,2049
41156,Shaun Chance,8
41225,Anna HŠberlin,793
41145,Shahid Collister,15
41201,Nicole Hansen,188
41037,Claudia Bergmann,8
41257,Eric Hoffmann,29
41103,Natalie DeCherney,1953
40981,Marc Crier,142
41195,Art Foster,372
41144,Tamara Dahlen,60
41226,Allen Armold,85
41221,Keith Dawkins,5851
40947,Lisa Hazard,108
41187,Joel Jenkins,75
41065,Brenda Bowman,11
41183,Robert Marley,334
41262,Arthur Gainer,7
41024,Linda Southworth,21
41234,Natalie Webber,208
41165,Zuschuss Carroll,1716
41253,Frank Carlisle,56
41017,Darren Powers,210
41226,Ken Lonsdale,810
41171,Tracy Collins,62
41166,Brad Eason,26
41086,Sue Ann Reed,535
41085,Alan Barnes,414
40954,Justin MacKendrick,627
41096,Barbara Fisher,11
41233,Jamie Kunitz,205
41008,Mick Crebagga,18
40936,Joseph Holt,4298
41031,Noah Childs,167
