order_date,customer,grand_total
29-Sep-11,Evan Bailliet,818
2-Dec-11,David Philippe,1051
3-Apr-11,Katrina Edelman,233
5-Jan-11,Phillina Ober,288
31-Mar-11,Jas O'Carroll,1
16-Dec-11,Kean Nguyen,1
11-Sep-11,Liz Willingham,128
17-Sep-11,Nick Radford,183
24-Oct-11,Arthur Prichep,12
24-Dec-11,Luke Foster,10
16-Dec-11,Sean Christensen,329
9-Jul-11,Darrin Sayre,172
12-Dec-11,Logan Haushalter,31
14-Sep-11,Astrea Jones,460
10-Sep-11,Sandra Flanagan,337
13-Dec-11,Katherine Ducich,90
13-May-11,Aaron Hawkins,287
13-Sep-11,Becky Castell,340
1-Mar-11,Vicky Freymann,652
5-Apr-11,Tracy Hopkins,55
16-Jun-11,Chloris Kastensmidt,116
23-Sep-11,Julie Prescott,18
9-Jul-11,Gary Hansen,69
10-May-11,Art Foster,372
1-Nov-11,Erin Ashbrook,94
5-Nov-11,Maribeth Dona,1477
11-Oct-11,Dorothy Badders,16
20-Aug-11,Nick Crebassa,1417
28-Sep-11,Xylona Preis,337
13-May-11,Naresj Patel,150
14-Mar-11,Jason Fortune-,280
23-Dec-11,Tiffany House,110
13-Jun-11,Filia McAdams,15
11-Mar-11,Filia McAdams,783
26-Sep-11,Michael Moore,154
2-May-11,Andrew Roberts,26
18-Oct-11,Luke Schmidt,605
26-Sep-11,Dianna Arnett,53
1-Feb-11,Liz Carlisle,291
25-Aug-11,Ryan Crowe,199
18-Nov-11,Ann Blume,14
6-Aug-11,Roland Fjeld,63
17-Jan-11,Delfina Latchford,300
9-Jun-11,Brosina Hoffman,3714
2-Nov-11,Shahid Hopkins,409
24-Nov-11,Nathan Gelder,3
15-Jul-11,Victoria Wilson,10
26-Jul-11,Sheri Gordon,256
4-Mar-11,Clay Ludtke,355
12-Sep-11,Luke Weiss,3785
15-Nov-11,Jamie Frazer,362
14-Dec-11,Bryan Mills,186
8-May-11,Kean Thornton,1800
15-Dec-11,Jas O'Carroll,6
30-Jun-11,Michael Stewart,47
26-Apr-11,Marc Harrigan,34
11-Oct-11,Dean percer,408
23-Sep-11,Sanjit Chand,9900
21-Jul-11,Michelle Ellison,1174
4-Mar-11,Sanjit Chand,16
19-Oct-11,Jeremy Farry,13
1-Aug-11,Barbara Fisher,203
7-Oct-11,Mathew Reese,130
22-Jul-11,Naresj Patel,1136
21-Sep-11,Larry Hughes,7
21-May-11,Mitch Willingham,3334
4-May-11,Paul MacIntyre,47
7-Sep-11,Rick Bensley,644
14-Jan-11,Michael Moore,41
29-Dec-11,Michael Granlund,9
29-Apr-11,Katherine Hughes,20
17-Mar-11,Bradley Nguyen,250
5-Aug-11,Chad Sievert,472
28-Apr-11,Muhammed Yedwab,527
27-Nov-11,Maxwell Schwartz,4
16-Nov-11,Justin Deggeller,731
25-Nov-11,Mike Pelletier,1394
11-May-11,Harold Dahlen,122
17-Nov-11,Yoseph Carroll,3116
15-Dec-11,Sung Pak,9
3-Nov-11,Denise Monton,6
8-Oct-11,Duane Noonan,124
4-Jul-11,Katrina Edelman,210
27-Dec-11,Alyssa Tate,12
7-Nov-11,Maribeth Schnelling,317
20-Sep-11,Sarah Brown,505
24-Aug-11,Dorothy Wardle,26
1-Dec-11,Resi P?lking,2854
23-Nov-11,Saphhira Shifley,46
2-Nov-11,Julie Kriz,800
19-Dec-11,Irene Maddox,1980
3-Oct-11,Russell D'Ascenzo,58
23-Mar-11,Patrick O'Donnell,935
20-Dec-11,William Brown,85
27-Sep-11,Thomas Seio,88
6-Nov-11,George Ashbrook,44
10-Nov-11,Sam Craven,1195
28-Nov-11,Mary O'Rourke,17
4-Nov-11,Odella Nelson,67
3-Nov-11,Speros Goranitis,841
28-Nov-11,Brian Thompson,999
6-May-11,Harold Pawlan,141
19-Aug-11,Jim Karlsson,11
15-Feb-11,Marina Lichtenstein,561
8-Apr-11,John Stevenson,172
22-Apr-11,Aaron Hawkins,258
24-Nov-11,Harold Pawlan,111
13-Apr-11,Jonathan Doherty,631
17-Feb-11,Michael Nguyen,9
25-Nov-11,Andy Reiter,53
12-Nov-11,Darren Powers,153
22-Jul-11,Alejandro Ballentine,20
3-Dec-11,Nathan Gelder,480
7-Sep-11,Sean Braxton,539
29-Sep-11,Suzanne McNair,2359
30-Jun-11,Russell Applegate,5
8-Sep-11,Stefania Perrino,17
11-Jul-11,Michael Nguyen,586
22-Aug-11,Deanra Eno,4
26-Aug-11,Frank Merwin,177
18-Jul-11,Adrian Hane,259
13-Oct-11,Sibella Parks,8
7-Nov-11,Lena Hernandez,123
24-Sep-11,Julia Dunbar,212
3-Feb-11,Eric Barreto,199
19-Jan-11,David Wiener,65
7-Nov-11,Tamara Chand,100
18-Jun-11,Mick Crebagga,140
17-Dec-11,Roy Franz?sisch,40
7-Apr-11,Pauline Johnson,9
13-Dec-11,Randy Ferguson,93
16-Dec-11,Stefanie Holloman,1404
17-Oct-11,Tracy Blumstein,131
27-May-11,Maya Herman,926
14-Jul-11,Shirley Schmidt,39
8-Aug-11,Matt Abelman,1110
21-Sep-11,Sara Luxemburg,66
2-May-11,Cari Schnelling,480
22-Jun-11,Dianna Vittorini,664
27-Aug-11,Corey Catlett,1812
18-Nov-11,Maya Herman,868
27-Jul-11,Giulietta Weimer,238
5-Aug-11,Gary Zandusky,489
26-Nov-11,Lynn Smith,415
23-Aug-11,Arthur Prichep,424
12-Jul-11,Max Engle,60
29-Sep-11,Lisa DeCherney,1609
28-Sep-11,Keith Dawkins,107
16-May-11,Pauline Webber,233
3-Sep-11,Allen Goldenen,14
21-Sep-11,Brian Moss,69
5-Dec-11,Nona Balk,521
14-Nov-11,Maris LaWare,877
3-Aug-11,Berenike Kampe,164
22-Nov-11,Robert Barroso,10
10-Sep-11,Clay Ludtke,1509
9-Feb-11,Nathan Mautz,15
4-Nov-11,William Brown,1729
20-Sep-11,Mitch Webber,3519
23-Jun-11,Brian Stugart,86
7-Sep-11,Shahid Shariari,322
25-Aug-11,Joe Elijah,38
13-Sep-11,Lena Hernandez,3
23-Dec-11,Michelle Ellison,5
4-Aug-11,Valerie Dominguez,2126
9-Sep-11,Rick Reed,2304
20-Sep-11,Henry Goldwyn,9
1-Sep-11,Larry Tron,54
29-Sep-11,Paul Prost,2355
26-Jul-11,Kunst Miller,1891
29-Dec-11,Zuschuss Carroll,39
1-Nov-11,Suzanne McNair,16
15-Jun-11,Pamela Stobb,37
11-Aug-11,Greg Matthias,76
24-Nov-11,Harold Ryan,721
12-May-11,Hunter Lopez,35
21-May-11,Katherine Hughes,187
4-Dec-11,Cathy Prescott,130
19-Sep-11,John Lee,2692
31-Dec-11,Candace McMahon,50
25-Nov-11,Matt Collister,1274
22-Sep-11,Maribeth Schnelling,5
11-May-11,Brooke Gillingham,36
15-Nov-11,Shahid Shariari,803
26-Sep-11,Christopher Schild,310
12-Feb-11,Natalie Fritzler,1508
22-Jul-11,Erin Mull,166
17-Mar-11,Quincy Jones,127
20-Jul-11,Jonathan Doherty,602
2-Sep-11,Clay Ludtke,21
3-Mar-11,Anne Pryor,161
31-Mar-11,Alex Avila,727
19-Nov-11,Alan Dominguez,6
21-Jun-11,Dave Brooks,1327
17-Nov-11,Greg Tran,6161
25-Mar-11,Christina Anderson,92
11-Nov-11,Mary Zewe,2159
11-Oct-11,Alan Shonely,8
15-Nov-11,Scott Cohen,11
8-Sep-11,Ted Trevino,255
7-Apr-11,Roland Schwarz,753
15-Nov-11,Peter B?hler,605
3-Aug-11,Gary Hansen,93
22-Nov-11,Ruben Ausman,1023
2-Nov-11,Liz Carlisle,609
17-Aug-11,Ken Black,16
21-Jul-11,Harry Marie,752
8-Dec-11,Tim Brockman,266
26-May-11,Dean percer,48
13-Dec-11,Kimberly Carter,12
12-Jul-11,Alyssa Crouse,706
15-Dec-11,Ed Braxton,446
12-Jan-11,Seth Vernon,10
19-May-11,Tamara Dahlen,34
3-May-11,Joni Sundaresam,22
3-Mar-11,Sam Craven,177
31-Mar-11,Trudy Glocke,1142
6-Sep-11,Victoria Pisteka,100
14-Dec-11,Cari Sayre,9
21-Jun-11,Toby Braunhardt,697
20-May-11,Matt Collister,108
24-Oct-11,Allen Armold,34
7-Jan-11,Lycoris Saunders,19
17-Nov-11,Cassandra Brandow,7
22-Aug-11,Jeremy Pistek,8
30-Dec-11,Ken Brennan,10
7-Sep-11,Tom Boeckenhauer,1040
1-Mar-11,Shahid Collister,574
1-Dec-11,Toby Ritter,58
30-Mar-11,Guy Armstrong,206
12-Jul-11,Clay Ludtke,134
28-Apr-11,Arianne Irving,1680
8-Aug-11,Lena Radford,2050
1-Dec-11,Toby Braunhardt,96
28-Jul-11,Chloris Kastensmidt,193
30-Dec-11,Astrea Jones,158
7-Feb-11,Neil Ducich,322
1-Jun-11,Dianna Wilson,3746
17-Sep-11,Joseph Airdo,318
13-Oct-11,Michelle Arnett,390
4-Nov-11,Sam Zeldin,52
26-Sep-11,Karen Ferguson,605
8-Sep-11,Gary Zandusky,50
6-Oct-11,Alice McCarthy,15
9-Jun-11,Frank Olsen,1441
19-Sep-11,Mike Caudle,93
7-Oct-11,John Grady,107
2-Dec-11,Katherine Nockton,120
24-Dec-11,Adam Shillingsburg,14
13-Sep-11,Jessica Myrick,268
28-Apr-11,David Smith,160
19-Aug-11,David Wiener,359
4-Apr-11,Maurice Satty,85
6-Jun-11,Bryan Mills,13
11-Jul-11,Mark Hamilton,67
23-Feb-11,Sue Ann Reed,19
22-Jun-11,Toby Braunhardt,8
30-Mar-11,Dorris liebe,60
22-Dec-11,Khloe Miller,12
31-Dec-11,Katherine Murray,2846
5-Nov-11,Steven Roelle,48
3-Aug-11,Bruce Stewart,221
20-Sep-11,Michelle Arnett,64
9-Jun-11,Carl Weiss,142
18-Nov-11,MaryBeth Skach,21
5-Dec-11,Rob Lucas,91
9-Jun-11,Chuck Magee,30
18-May-11,George Ashbrook,4
29-Apr-11,Lauren Leatherbury,17
31-Jan-11,Mike Vittorini,241
4-Aug-11,Marina Lichtenstein,617
6-Jul-11,Emily Phan,560
1-Nov-11,Russell Applegate,2027
20-Dec-11,Tony Sayre,732
20-Apr-11,Seth Vernon,1191
21-Dec-11,Dennis Pardue,18
6-Oct-11,Xylona Preis,9
2-Nov-11,Steven Ward,95
22-Nov-11,Susan Pistek,54
10-Jan-11,Melanie Seite,41
8-Dec-11,Jim Karlsson,650
3-Jun-11,Steven Cartwright,516
29-Aug-11,Hilary Holden,123
3-May-11,Nathan Cano,51
28-May-11,Patrick Jones,85
29-Nov-11,Corey-Lock,5
21-Apr-11,Dorothy Badders,829
16-Dec-11,Chad Cunningham,1308
20-Dec-11,Penelope Sewall,2884
16-Jun-11,Sonia Cooley,648
6-Apr-11,Guy Phonely,45
5-Sep-11,Patrick Ryan,32
20-Oct-11,Lindsay Shagiari,862
29-Mar-11,Mike Gockenbach,891
30-Sep-11,Doug Bickford,43
6-Aug-11,Trudy Brown,200
3-Nov-11,Maxwell Schwartz,286
9-Oct-11,Bart Pistole,89
15-Aug-11,Keith Herrera,31
30-Dec-11,Guy Armstrong,28
15-Sep-11,Alex Avila,30
9-Dec-11,Frank Preis,1111
19-Sep-11,Neil Ducich,74
18-Jul-11,Jack Lebron,14
9-Oct-11,Shirley Jackson,161
5-Dec-11,Roy Collins,25
21-Jun-11,Natalie Webber,385
1-Apr-11,Katharine Harms,73
26-Mar-11,Jonathan Doherty,66
18-Oct-11,Edward Hooks,249
23-May-11,Erica Hackney,13
12-Sep-11,Brad Norvell,192
20-Dec-11,Carol Triggs,597
4-Jul-11,Maxwell Schwartz,37
7-Dec-11,Frank Preis,9
11-Apr-11,Gary Mitchum,758
11-May-11,Raymond Messe,47
27-May-11,Lena Creighton,1213
23-Nov-11,Bobby Trafton,15
1-Nov-11,Deirdre Greer,76
12-Oct-11,Duane Noonan,36
25-Oct-11,Evan Henry,54
26-Dec-11,Maureen Gnade,362
17-Dec-11,Erin Creighton,5
3-Feb-11,Cynthia Delaney,12
8-Sep-11,Becky Martin,10540
21-Mar-11,Cassandra Brandow,13
8-Sep-11,Toby Swindell,9
13-Sep-11,Odella Nelson,79
13-May-11,Erica Hernandez,405
28-Apr-11,George Bell,212
20-Nov-11,Katharine Harms,908
10-Oct-11,Tanja Norvell,138
30-May-11,Mark Cousins,720
14-Jun-11,Sharelle Roach,213
17-Nov-11,Thomas Seio,1075
11-Nov-11,Matt Abelman,708
2-Feb-11,Bradley Drucker,469
20-Dec-11,Toby Carlisle,448
28-Jun-11,Cynthia Arntzen,1640
30-Sep-11,Kelly Williams,69
15-Aug-11,Christine Sundaresam,63
26-Nov-11,Luke Schmidt,67
16-Sep-11,Randy Ferguson,34
18-Nov-11,Julie Creighton,67
21-Jun-11,Raymond Messe,21
3-Jun-11,Ross Baird,15
28-Dec-11,Anthony Jacobs,2583
25-Sep-11,Barry Franz,15
12-Dec-11,William Brown,43
30-Sep-11,Dario Medina,795
20-Jul-11,Charles Crestani,176
21-Jun-11,James Galang,1215
6-Jan-11,Mick Brown,20
26-Mar-11,Damala Kotsonis,60
9-Aug-11,Gene McClure,6
22-Jun-11,Joel Eaton,197
23-Dec-11,Sarah Foster,207
22-Dec-11,Nora Preis,274
21-Oct-11,Tracy Blumstein,531
29-Apr-11,Harry Greene,70
13-Sep-11,Resi P?lking,562
16-Aug-11,Troy Staebel,853
8-Oct-11,Jack Garza,23
20-Jul-11,Scot Wooten,53
12-Apr-11,Edward Hooks,40
18-Oct-11,Ivan Gibson,63
15-Oct-11,Dan Lawera,15
1-Dec-11,Anna Andreadi,328
27-Aug-11,Zuschuss Donatelli,245
28-Dec-11,Maribeth Dona,1050
31-Aug-11,Shirley Jackson,93
24-May-11,Resi P?lking,116
24-Mar-11,Maurice Satty,40
22-May-11,Evan Henry,181
20-Jul-11,Katherine Murray,1341
25-Jul-11,Ken Lonsdale,8319
26-May-11,Michelle Moray,476
8-Dec-11,Denny Joy,119
10-Jun-11,Heather Kirkland,492
9-Sep-11,Maribeth Schnelling,104
17-Jun-11,Gary Hwang,3291
19-Nov-11,John Murray,4549
9-Nov-11,Jeremy Pistek,1518
26-Sep-11,Craig Molinari,69
13-Sep-11,Dan Campbell,5
23-Jul-11,Nick Crebassa,993
18-Mar-11,Sean Miller,23661
31-Oct-11,Anne McFarland,2117
14-Dec-11,Tom Boeckenhauer,7000
14-Sep-11,Cynthia Arntzen,26
30-May-11,Shahid Shariari,355
17-Nov-11,Mark Packer,480
8-Sep-11,Kean Takahito,1167
30-Aug-11,Annie Thurman,121
25-Jul-11,Vicky Freymann,22
20-Jan-11,Toby Swindell,379
30-Jun-11,Helen Abelman,335
20-Oct-11,Patrick O'Donnell,212
3-Nov-11,Annie Thurman,147
8-Sep-11,Paul Prost,176
30-Nov-11,Philip Brown,150
22-Dec-11,Bradley Talbott,216
30-May-11,Ellis Ballard,14
29-Sep-11,Arthur Prichep,968
7-Nov-11,Bart Pistole,36
24-Jan-11,Speros Goranitis,6
24-Mar-11,Carlos Daly,25
26-Apr-11,Aleksandra Gannaway,249
6-Jul-11,Becky Castell,478
23-Sep-11,Jim Kriz,29
4-Jun-11,Mark Packer,16
22-Mar-11,Beth Fritzler,389
27-Oct-11,Ross DeVincentis,22
23-Sep-11,Thea Hudgings,11
27-Dec-11,Resi P?lking,947
30-Nov-11,Randy Ferguson,7
10-Dec-11,Sally Matthias,118
25-Mar-11,Annie Zypern,367
21-Jan-11,Mark Van Huff,39
17-May-11,Pete Armstrong,92
2-Nov-11,Patrick O'Brill,89
1-Nov-11,Natalie DeCherney,600
14-Dec-11,Joy Daniels,43
11-Jan-11,Anthony Jacobs,55
23-Nov-11,Phillip Breyer,63
5-Apr-11,Ruben Dartt,771
4-Nov-11,MaryBeth Skach,35
15-Jan-11,Brendan Sweed,62
4-Apr-11,Ken Black,365
15-Sep-11,Monica Federle,104
16-Nov-11,Rick Huthwaite,274
15-Mar-11,Alan Shonely,371
5-Dec-11,Joni Blumstein,250
31-Dec-11,Pamela Coakley,1573
8-Jul-11,Michelle Huthwaite,64
10-Oct-11,Shirley Daniels,47
5-Aug-11,Sonia Sunley,78
19-Nov-11,Mitch Webber,503
8-Apr-11,Nathan Mautz,500
1-Dec-11,Joe Kamberova,1614
5-Apr-11,John Grady,102
12-Nov-11,Roy Franz?sisch,50
5-Dec-11,Erin Ashbrook,362
12-Nov-11,Joseph Airdo,641
14-Oct-11,Toby Carlisle,1885
16-Dec-11,Steve Chapman,114
14-Nov-11,Candace McMahon,21
8-Aug-11,Maria Bertelson,217
2-Sep-11,Christina VanderZanden,240
6-Jun-11,Valerie Takahito,100
4-Jun-11,Bobby Trafton,440
20-Sep-11,Dorothy Badders,3
22-Oct-11,Nicole Brennan,130
13-Oct-11,Zuschuss Carroll,1550
11-May-11,Victoria Wilson,1213
5-Oct-11,Keith Herrera,100
30-Jun-11,Brian DeCherney,311
2-Sep-11,Sanjit Chand,1794
1-Aug-11,Ivan Liston,20
29-Dec-11,Shui Tom,57
5-Oct-11,Brian Derr,92
21-May-11,Frank Gastineau,712
1-Nov-11,Jack O'Briant,75
14-Mar-11,Rick Bensley,583
5-Jul-11,David Wiener,4
19-Feb-11,Aaron Bergman,13
27-Dec-11,Tamara Chand,522
1-Jul-11,Dorris liebe,20
4-Oct-11,David Flashing,110
3-Nov-11,Tracy Collins,7
6-Apr-11,Frank Hawley,436
24-Nov-11,Thea Hendricks,1538
16-Dec-11,Ken Black,1016
12-Aug-11,Lauren Leatherbury,287
21-Sep-11,Herbert Flentye,451
3-Oct-11,Beth Paige,258
29-Nov-11,Alan Hwang,606
2-Dec-11,Odella Nelson,463
23-Dec-11,Craig Carreira,620
18-Feb-11,Delfina Latchford,54
13-Dec-11,Ralph Arnett,3
7-Dec-11,Erica Hernandez,165
12-Apr-11,Kean Nguyen,1840
29-Oct-11,Sue Ann Reed,2736
11-Aug-11,Ken Lonsdale,375
8-Aug-11,Tamara Manning,423
21-Nov-11,Steve Carroll,102
23-Aug-11,Robert Barroso,50
21-Dec-11,Gary McGarr,1898
22-Jun-11,Anna Andreadi,1107
16-Apr-11,Stephanie Phelps,39
19-Oct-11,Rachel Payne,306
4-May-11,Andrew Allen,27
6-Dec-11,Barry Gonzalez,42
3-Nov-11,Resi P?lking,12
11-Nov-11,Tom Stivers,546
3-Mar-11,Ashley Jarboe,19
12-May-11,Kean Thornton,700
30-Apr-11,Tamara Manning,48
22-Sep-11,Adam Shillingsburg,694
12-Aug-11,Duane Huffman,458
24-Dec-11,Resi P?lking,30
17-Jun-11,Jennifer Ferguson,62
26-May-11,Marina Lichtenstein,576
20-Sep-11,Erica Smith,32
28-Feb-11,Joy Smith,19
7-Mar-11,Aaron Bergman,310
20-Dec-11,Michael Chen,695
19-Sep-11,Frank Atkinson,7
8-Aug-11,Vivek Gonzalez,155
28-Jun-11,Rob Williams,6
14-Jan-11,Brian Dahlen,1680
20-Jul-11,Roger Demir,113
16-Mar-11,Kristina Nunn,472
14-Mar-11,Dean Katz,14
31-Dec-11,Aaron Hawkins,54
2-Sep-11,Justin MacKendrick,91
5-Jul-11,Michael Chen,514
3-Oct-11,Allen Rosenblatt,266
11-Oct-11,Helen Andreada,465
26-May-11,Herbert Flentye,225
21-Apr-11,Allen Armold,17
22-Sep-11,Sanjit Engle,210
19-Nov-11,Robert Marley,683
2-Sep-11,Andy Gerbode,560
11-Mar-11,Kelly Andreada,109
10-Nov-11,Ruben Dartt,808
17-Mar-11,Annie Zypern,25
19-Apr-11,Allen Goldenen,129
24-Nov-11,Vivek Gonzalez,152
9-May-11,Sean Braxton,159
26-Jul-11,Jack O'Briant,112
14-Sep-11,John Castell,150
7-Nov-11,Steven Cartwright,725
25-Jun-11,Noel Staavos,448
30-Sep-11,Maya Herman,15
6-Jun-11,Grant Thornton,1158
23-Nov-11,Sally Matthias,23
7-Dec-11,Patrick O'Brill,106
10-May-11,Arianne Irving,202
28-Nov-11,Sheri Gordon,184
24-Jun-11,Liz Pelletier,4
17-Nov-11,Randy Bradley,670
19-Sep-11,Jim Kriz,6
16-Nov-11,Adam Hart,5
30-Apr-11,Justin MacKendrick,1001
20-Dec-11,Mark Hamilton,191
9-Jun-11,Thomas Seio,135
2-Apr-11,Anna H?berlin,178
5-May-11,Katharine Harms,45
14-Sep-11,Darrin Martin,4284
1-Jul-11,Laurel Workman,581
18-Nov-11,Michael Kennedy,393
9-Aug-11,Roger Demir,14
12-Jul-11,Paul Van Hugh,554
14-Nov-11,Chris Cortes,32
30-Mar-11,Mark Packer,715
26-Oct-11,Angele Hood,448
14-Nov-11,Jeremy Lonsdale,24
1-Aug-11,Ann Steele,6
14-Jan-11,Chris Selesnick,1287
27-Dec-11,Corey-Lock,63
19-Dec-11,Bart Pistole,832
28-Nov-11,Bart Folk,15
24-Nov-11,Darren Koutras,646
21-Mar-11,Kristen Hastings,3770
8-Sep-11,Karen Carlisle,117
20-Dec-11,Suzanne McNair,192
11-Nov-11,Tracy Zic,1167
27-Dec-11,Thomas Brumley,767
18-Nov-11,Joe Kamberova,1109
11-Jul-11,Laura Armstrong,1369
23-Sep-11,Shui Tom,139
23-Sep-11,Thomas Thornton,44
14-Oct-11,Hunter Glantz,2003
3-Jun-11,Richard Eichhorn,210
14-Jul-11,Shui Tom,111
18-Nov-11,Pierre Wener,182
18-May-11,Ted Trevino,165
28-Dec-11,Sung Pak,99
2-Apr-11,Rob Dowd,1221
26-Sep-11,Nicole Brennan,144
25-Jun-11,Grace Kelly,345
25-Nov-11,Laurel Workman,372
13-Oct-11,Marina Lichtenstein,265
23-Mar-11,Bruce Geld,10
3-Dec-11,Matthew Clasen,26
21-Feb-11,Steven Roelle,13
12-Nov-11,Denise Monton,8
4-Nov-11,Nathan Mautz,4807
11-Nov-11,Karen Daniels,1639
9-Jul-11,Brian Moss,25
27-Dec-11,Nathan Cano,5
1-Sep-11,Jack Lebron,35
29-Dec-11,Ricardo Emerson,48
